IDENT;LIBELLE;VEHICULE;VOIRIE;INSEE
B_LAM90_A;Lamartine;BUS;CHAUSSEE;33032
B_LAG12_A;Brossolette;BUS;CHAUSSEE_ACCESS;33281
B_RUE52_R;Ruet;BUS;CHAUSSEE;33200
B_LEB56_A;Léon Blum;BUS;CHAUSSEE;33069
B_BRA03_R;Quai de Brazza;BUS;CHAUSSEE_ACCESS;33063
B_LUC43_A;Primevères;BUS;CHAUSSEE;33192
B_RIC16_A;Rue Richelieu;BUS;CHAUSSEE;33063
B_DON09_R;Donnet;BUS;CHAUSSEE;33063
B_COT07_R;Avenue du Coteau;BUS;CHAUSSEE;33065
B_AS47_A;Les As;BUS;CHAUSSEE;33318
B_COM46_A;Combelongue;BUS;CHAUSSEE;33318
B_LMA93_R;Lamartine;BUS;CHAUSSEE;33096
B_LMOR5_R;La Morlette;BUS;CHAUSSEE;33119
B_JAU45_R;Jaubert;BUS;CHAUSSEE_ACCESS;33318
B_PRO75_A;Procession;BUS;CHAUSSEE_ACCESS;33281
B_AFR21_R;Anatole France;BUS;CHAUSSEE_ACCESS;33550
B_MAR46_A;Marne;BUS;CHAUSSEE_ACCESS;33318
B_CAY42_A;Prieuré de Cayac;BUS;HS_SEMI_INTEGRE;33192
B_SQM08_R;Square Monrepos;BUS;CHAUSSEE;33119
B_BAR93_A;Baraille;BUS;CHAUSSEE;33003
B_BOZ06_A;Berlioz;BUS;CHAUSSEE;33167
B_BER53_R;Berlincan;BUS;CHAUSSEE;33449
B_MOZ41_R;Place Mozart;BUS;CHAUSSEE_ACCESS;33522
B_AND80_A;Le Trinquet;BUS;CHAUSSEE;33318
B_JAC07_A;La Jacquotte;BUS;CHAUSSEE_ACCESS;33167
B_CIM91_R;Cimetière d'Ambès;BUS;CHAUSSEE;33004
B_POT64_A;Le Poteau;BUS;CHAUSSEE;33013
B_LAT09_R;Latule;BUS;CHAUSSEE_ACCESS;33063
B_LIE16_A;Lièges;BUS;CHAUSSEE_ACCESS;33063
B_SAL22_A;Salengro;BUS;CHAUSSEE_ACCESS;33039
B_MOU92_A;Domaine de Moulerin;BUS;CHAUSSEE;33032
B_PAS90_R;Pasteur;BUS;CHAUSSEE;33032
B_MOU64_R;La Moune;BUS;CHAUSSEE;33013
B_MAG03_A;Magendie;BUS;VOIE_PROTEGEE;33249
B_CET71_R;Cerema;BUS;CHAUSSEE_ACCESS;33449
B_CED06_R;Cèdres;BUS;CHAUSSEE;33167
B_19M91_A;19 Mars 1962;BUS;CHAUSSEE;33004
B_TOU34_R;Route de Toulouse;BUS;CHAUSSEE;33550
B_CAB08_R;Cabannes;BUS;CHAUSSEE;33167
B_BON92_R;Bonnet;BUS;CHAUSSEE;33004
B_CAUS5_A;Caussade;BUS;CHAUSSEE;33167
B_HIL02_A;Clos de Hilde;BUS;CHAUSSEE;33039
B_LAM92_R;La Motte;BUS;CHAUSSEE_ACCESS;33434
B_AUS27_R;Avenue Ausone;BUS;CHAUSSEE;33075
B_MON05_A;Côte de Monrepos;BUS;CHAUSSEE;33167
B_SRO27_A;St Romain;BUS;CHAUSSEE;33119
B_VAL48_A;Vallon;BUS;CHAUSSEE;33281
B_JEAH9_A;Jean Hameau;BUS;CHAUSSEE_ACCESS;33063
B_ALO55_R;Aloha;BUS;CHAUSSEE;33519
B_TYFA85;Tout y Faut;BUS;CHAUSSEE;33013
B_IND80_R;Parc Industriel;BUS;HS_INTEGRAL;33318
B_LES53_A;Lestage;BUS;CHAUSSEE_ACCESS;33449
B_MOU37_R;Jean Moulin;BUS;CHAUSSEE;33056
B_BOU03_A;Bouthier;BUS;HS_INTEGRAL;33063
B_EUR93_A;Europe;BUS;HS_INTEGRAL;33003
B_LIG94_R;Lignac;BUS;CHAUSSEE;33003
B_GAZ38_A;Peyronneaud;BUS;CHAUSSEE_ACCESS;33063
B_LIB92_R;Liberté;BUS;CHAUSSEE;33003
B_ZAH80_A;Z.A Haut-Vigneau;BUS;CHAUSSEE;33192
B_BAR38_R;Barrès;BUS;HS_INTEGRAL;33063
B_EDV06_A;Nougueys;BUS;CHAUSSEE_ACCESS;33167
B_VIR63_R;Virecourt;BUS;CHAUSSEE;33013
B_HIP53_R;Centre Hippique;BUS;CHAUSSEE;33449
B_HAM58_R;Hameau du Château;BUS;CHAUSSEE;33312
B_MUS92_R;Domaine de Muscadet;BUS;CHAUSSEE;33032
B_MAR05_R;Cenon Marègue;BUS;SURELEVE;33119
B_CAI90_R;Cailleau;BUS;CHAUSSEE;33032
B_BUR35_R;Le Burck;BUS;HS_INTEGRAL;33281
B_ALL38_A;Allende;BUS;CHAUSSEE;33249
B_JOF35_A;Maréchal Joffre;BUS;CHAUSSEE;33281
B_VI443_R;Village 4;BUS;CHAUSSEE_ACCESS;33318
B_BJU13_A;Barrière Judaïque;BUS;CHAUSSEE;33063
B_V234_R;Village 2;BUS;HS_SEMI_INTEGRE;33318
B_TBEAUS;Beausoleil;BUS;TERMINUS_ACCESS;33192
B_PBO07_R;Pont de Bouliac;BUS;CHAUSSEE;33065
B_PER54_A;Pérès;BUS;CHAUSSEE_ACCESS;33069
B_LYC21_R;Lycée Kastler;BUS;CHAUSSEE;33522
B_SOL42_R;Solarium;BUS;CHAUSSEE;33192
B_RAY32_A;Collège G.Rayet;BUS;CHAUSSEE;33167
B_REI42_R;Hameau de la Reine;BUS;CHAUSSEE_ACCESS;33192
B_ROS90_R;La Roseraie;BUS;CHAUSSEE;33032
B_19M91_R;19 Mars 1962;BUS;CHAUSSEE;33004
B_CLA75_R;Clarines;BUS;CHAUSSEE;33281
B_TOU51_A;Tourny;BUS;CHAUSSEE_ACCESS;33063
B_LAN58_A;Vassivey;BUS;CHAUSSEE;33312
B_ACA73_A;Acacias;BUS;CHAUSSEE;33281
B_LIN73_A;Lindbergh;BUS;CHAUSSEE;33281
B_CAY58_R;Caychac Bourg;BUS;HS_INTEGRAL;33056
B_PLA06_R;Les Plateaux;BUS;CHAUSSEE;33167
B_VIN03_A;Professeur Vincent;BUS;CHAUSSEE;33249
B_VIE58_A;Lot. de la Vieille Eglise;BUS;CHAUSSEE;33312
B_ARC02_R;Jeanne d'Arc;BUS;CHAUSSEE;33039
B_VHU91_R;St Louis de Montferrand (Victor Hugo);BUS;CHAUSSEE;33434
B_LAL63_R;La Lande;BUS;HS_SEMI_INTEGRE;33013
